GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,EMP,EMP_S,PAYANN,BENEFIT,BENEFIT_S,BENHEA,BENPEB,BENPEC,BENOTH,EMPAVPW,HOURS,PAYANPW,CSTMTOT,CSTMTOT_S,CSTMPRT,CSTRSL,CSTCNT,CSTFU,CSTFU_S,ELECPCH,CSTELEC,CSTELEC_S,ELECGEN,ELECSLD,RCPTOT,RCPTOT_S,RCPTPLM,RCPTRAN,MSCTOT,MSCRSLTT,MSCCNTTT,MSCOTH,VALADD,VALADD_S,INVTOTE,INVTOTE_S,INVFINE,INVFINE_S,INVWIPE,INVWIPE_S,INVMATE,INVMATE_S,INVTOTB,INVFINB,INVWIPB,INVMATB,CEXTOT,CEXTOT_S,CEXBLD,CEXMCH,CEXMCHA,CEXMCHC,CEXMCHO,DPRTOT,DPRTOT_S,RPTOT,RPTOT_S,RPBLD,RPMCH,PCHTT,PCHTT_S,PCHTEMP,PCHCMPQ,PCHEXSO,PCHDAPR,PCHCSVC,PCHRPR,PCHRFUS,PCHADVT,PCHPRTE,PCHTAX,PCHOEXP
Geographic identifier code,Id2,Geographic area name,2007 NAICS codes and NAICS-based rollup code,Meaning of 2007 NAICS codes and NAICS-based rollup code,Year,Number of employees,Relative standard error of total number of employees (%),"Annual payroll ($1,000)","Total fringe benefits ($1,000)",Relative standard error of total fringe benefits (%),"Employer's cost for health insurance ($1,000)","Employer's cost for defined benefit pension plans ($1,000)","Employer's cost for defined contribution plans ($1,000)","Employer's cost for other fringe benefits ($1,000)",Production workers avg per year,"Production workers hours (1,000)","Production workers wages ($1,000)","Total cost of materials ($1,000)",Relative standard error of total cost of materials (%),"Materials, parts, containers, packaging, etc. used ($1,000)","Cost of resales ($1,000)","Contract Work ($1,000)","Cost of purchased fuels ($1,000)",Relative standard error of cost of purchased fuels (%),"Quantity of electricity purchased for heat and power (1,000 kWh)","Purchased electricity ($1,000)",Relative standard error of purchased electricity (%),"Quantity of generated electricity (1,000 kWh)","Quantity of electricity sold or transferred (1,000 kWh)","Total value of shipments ($1,000)",Relative standard error of total value of shipments (%),"Value of products shipments ($1,000)","Value of interplant transfers ($1,000)","Total miscellaneous receipts ($1,000)","Value of resales ($1,000)","Contract receipts ($1,000)","Other miscellaneous receipts ($1,000)","Value added ($1,000)",Relative standard error of value added (%),"Total inventories, end of year ($1,000)","Relative standard error of total inventories, end of year (%)","Finished goods inventories, end of year ($1,000)","Relative standard error of finished goods inventories, end of year (%)","Work-in-process inventories, end-of-year  ($1,000)","Relative standard error of work-in-process inventories, end of year (%)","Materials and supplies inventories, end of year ($1,000)","Relative standard error of materials and supplies inventories, end of year (%)","Total inventories, beginning of year ($1,000)","Finished goods inventories, beginning of year ($1,000)","Work-in-process inventories, beginning of year ($1,000)","Materials and supplies inventories, beginning of year ($1,000)","Total capital expenditures (new and used) ($1,000)",Relative standard error of total capital expenditures (new and used) (%),"Capital expenditures on buildings and other structures (new and used) ($1,000)","Capital expenditures on machinery and equipment (new and used) ($1,000)","Capital expenditures on automobiles, trucks, etc. for highway use ($1,000)","Capital expenditures on computers and peripheral data processing equipment ($1,000)","Capital expenditures on all other machinery and equipment ($1,000)","Total depreciation ($1,000)",Relative standard error of total depreciation (%),"Total rental payments ($1,000)",Relative standard error of total rental payments (%),"Rental payments for buildings and other structures ($1,000)","Rental payments for machinery and equipment ($1,000)","Total other expenses ($1,000)",Relative standard error of total other expenses (%),"Temporary staff and leased employee expenses ($1,000)","Expensed computer hardware and other equipment ($1,000)","Expensed purchases of software ($1,000)","Data processing and other purchased computer services ($1,000)","Communication services ($1,000)","Repair and maintenance services of buildings and/or machinery ($1,000)","Refuse removal (including hazardous waste) services ($1,000)","Advertising and promotional services ($1,000)","Purchased professional and technical services ($1,000)","Taxes and license fees ($1,000)","All other expenses ($1,000)"
0100000US,,United States,31-33,Manufacturing,2011,10649378,1,559517837,173704551,1,69542400,14930705,14983946,74247501,7440140,14866954,313709882,3240477063,1,2916521678,173477116,56170177,42275939,1,830841149,52032153,1,118810929,34891402,5498599159,1,5214486277,314483251,284112882,219793842,19966924,44352116,2295219634,1,591670447,1,210356409,1,183190051,1,198123987,1,536646008,191721573,164439273,180485161,146651647,1,21760323,124891324,2629535,7275654,114986135,116179198,1,30906078,1,21770092,9135986,349073697,1,27347484,2741233,2777300,5073474,4899129,41350936,13361028,12845339,26723274,16098236,195856262
0100000US,,United States,31-33,Manufacturing,2010,10507146,1,538456595,168033161,1,66578602,14288221,14295945,72870393,7289354,14550473,299613996,2782192359,1,2485700376,154830264,50861492,41658205,1,783323300,49142022,1,117186170,32838188,4905446064,1,4650195560,278286733,255250504,197450926,18477255,39322322,2160731149,1,538939463,1,192377333,1,164759779,1,181802351,1,489587658,174596342,145074170,169917146,127639000,1,19430452,108208547,2213276,6413634,99581637,114523298,1,29858701,1,21058163,8800538,342599083,1,23287865,2863211,2558467,4886105,5154295,38237718,13384320,12843751,26102398,16101421,197179532
0100000US,,United States,311,Food manufacturing,2011,1358996,1,52828340,16175656,1,6774500,1257380,1166591,6977184,1072841,2172236,36089009,448203618,1,415532362,19497136,2042214,5027771,1,90585330,6104136,1,4018295,389754,710365597,1,684695170,43935540,25670427,23474103,1310556,885769,264500763,1,47224444,1,24977393,1,4920880,1,17326171,1,43378919,23252108,4390891,15735921,15850621,1,3197716,12652904,309993,396170,11946741,11656674,1,3041706,1,1789360,1252346,35651693,1,2809429,108532,93763,142989,272445,4661367,2174656,1996937,1634118,1410921,20346536
0100000US,,United States,311,Food manufacturing,2010,1363773,1,52383998,16039107,1,6624439,1257761,1192829,6964078,1076443,2177377,35800855,392452944,1,362248020,17533833,1902569,5041070,1,84793527,5727453,1,5030267,471081,649338759,1,626253344,39236743,23085415,21051141,1214484,819790,259174379,1,43502998,1,23384560,1,4358121,2,15760317,1,40277654,21659868,4021025,14596761,14020480,1,2569790,11450690,346271,406757,10697662,11393282,1,2935426,1,1726700,1208726,35952663,1,2548792,108293,126072,139698,282501,4547228,2183108,2159968,1598749,1420358,20837897
0100000US,,United States,3111,Animal food manufacturing,2011,43104,1,2149012,626040,2,259938,48495,56025,261583,29749,61110,1310741,38024007,1,32440087,4645837,269949,308926,2,5751049,359209,2,S,S,54082330,1,49346336,2225130,4735994,4662881,14584,58528,16164944,1,2696635,2,1103187,2,224463,2,1368985,2,2375799,984437,238427,1152936,808548,2,144869,663679,40603,26640,596436,582142,1,103438,2,55673,47764,1582600,2,99835,7527,4861,6323,19232,245611,53450,136369,74736,79039,855617
0100000US,,United States,3111,Animal food manufacturing,2010,44168,1,2110513,606233,1,244745,47533,53856,260100,30348,62417,1289689,31859976,1,26853623,4170925,249655,273043,2,5131369,312730,2,S,S,48146262,1,44105874,2115146,4040388,3966552,14047,59790,16346399,1,2381427,1,985716,1,239876,2,1155835,2,2203866,957792,209521,1036553,829111,2,141687,687424,39471,32418,615535,614220,1,99592,2,52940,46652,1550839,2,46846,7777,5975,6051,20710,213223,44868,167168,85037,78001,875183
0100000US,,United States,31111,Animal food manufacturing,2011,43104,1,2149012,626040,2,259938,48495,56025,261583,29749,61110,1310741,38024007,1,32440087,4645837,269949,308926,2,5751049,359209,2,S,S,54082330,1,49346336,2225130,4735994,4662881,14584,58528,16164944,1,2696635,2,1103187,2,224463,2,1368985,2,2375799,984437,238427,1152936,808548,2,144869,663679,40603,26640,596436,582142,1,103438,2,55673,47764,1582600,2,99835,7527,4861,6323,19232,245611,53450,136369,74736,79039,855617
0100000US,,United States,31111,Animal food manufacturing,2010,44168,1,2110513,606233,1,244745,47533,53856,260100,30348,62417,1289689,31859976,1,26853623,4170925,249655,273043,2,5131369,312730,2,S,S,48146262,1,44105874,2115146,4040388,3966552,14047,59790,16346399,1,2381427,1,985716,1,239876,2,1155835,2,2203866,957792,209521,1036553,829111,2,141687,687424,39471,32418,615535,614220,1,99592,2,52940,46652,1550839,2,46846,7777,5975,6051,20710,213223,44868,167168,85037,78001,875183
0100000US,,United States,311111,Dog and cat food manufacturing,2011,17155,2,964812,288131,2,121352,24476,29066,113238,12329,26607,656521,11439632,1,8474737,2595300,170229,91344,2,1539706,108023,3,S,S,20585563,1,D,D,D,D,D,4914,9204612,1,932784,4,474857,4,31363,5,426565,3,830936,418722,28041,384173,450550,2,78048,372502,8157,15983,348361,252634,1,29968,4,18713,11255,778686,4,67933,2445,2272,3887,6309,95977,29329,115793,42775,37443,374522
